Event_Name,Start_Time,End_Time,Category
Texas A&M vs. Notre Dame,2024-08-31,2024-08-31,Football Game
Texas A&M vs. McNeese State,2024-09-07,2024-09-07,Football Game
Texas A&M vs. Bowling Green,2024-09-21,2024-09-21,Football Game
Texas A&M vs. Missouri,2024-10-05,2024-10-05,Football Game
Texas A&M vs. LSU,2024-10-26,2024-10-26,Football Game
Howdy Week,2024-08-15,2024-08-20,A&M Event
Labor Day,2024-09-02,2024-09-02,Holiday
George Straight Concert,2024-06-15,2024-06-15,Community Event
Grand Opening,2024-04-20,2024-04-20,Roni's Event
Muster,2024-04-21,2024-04-21,A&M Event
Ring Day Spring 2024,2024-04-10,2024-04-12,A&M Event
Graduation Spring 2024,2024-05-09,2024-05-11,A&M Event
Brazil vs Mexico Soccer Game,2024-06-08,2024-06-08,Community Event
Independence Day,2024-07-04,2024-07-04,Holiday
Juneteenth,2024-06-19,2024-06-19,Holiday
Memorial Day,2024-05-27,2024-05-27,Holiday
